,Structure,HADDOCK_Score,Evdw,Eelec,Edesolv,Total_Energy,Run_Name,Run_ID
548,complex_169w.pdb,-25.4063,-10.4265,-219.426,5.51217,-224.34033,Terminal Fold2,668631-terminal_fold2
549,complex_161w.pdb,-61.853,-2.35046,-495.81,4.93391,-493.22655,Terminal Fold2,668631-terminal_fold2
550,complex_77w.pdb,-42.8149,-5.83908,-239.513,4.48049,-240.87159,Terminal Fold2,668631-terminal_fold2
551,complex_56w.pdb,-45.8378,-9.8048,-291.616,1.69273,-299.72807,Terminal Fold2,668631-terminal_fold2
552,complex_167w.pdb,-38.4067,-13.964,-340.375,4.67214,-349.66686,Terminal Fold2,668631-terminal_fold2
553,complex_158w.pdb,-39.5666,-9.38169,-215.511,4.65032,-220.24237,Terminal Fold2,668631-terminal_fold2
554,complex_150w.pdb,-37.3575,-8.09665,-79.9864,4.04315,-84.0399,Terminal Fold2,668631-terminal_fold2
555,complex_166w.pdb,-35.0813,-11.578,-223.325,6.2356,-228.6674,Terminal Fold2,668631-terminal_fold2
556,complex_100w.pdb,-46.9462,-4.96017,-259.023,4.7426,-259.24057000000005,Terminal Fold2,668631-terminal_fold2
557,complex_92w.pdb,-41.7769,-8.02078,-303.48,4.88646,-306.61432,Terminal Fold2,668631-terminal_fold2
558,complex_153w.pdb,-52.1895,1.79994,-496.109,4.40013,-489.90893,Terminal Fold2,668631-terminal_fold2
559,complex_177w.pdb,-52.9595,2.19818,-473.042,4.76581,-466.07801,Terminal Fold2,668631-terminal_fold2
560,complex_90w.pdb,-30.0469,-13.0006,-251.713,4.7017,-260.01189999999997,Terminal Fold2,668631-terminal_fold2
561,complex_155w.pdb,-41.1313,-12.0728,-180.16,4.88625,-187.34655,Terminal Fold2,668631-terminal_fold2
562,complex_180w.pdb,-39.8482,-10.1582,-143.079,3.95146,-149.28574,Terminal Fold2,668631-terminal_fold2
563,complex_147w.pdb,-37.3741,-6.35956,-385.41,3.81984,-387.94972,Terminal Fold2,668631-terminal_fold2
564,complex_96w.pdb,-44.3882,-20.5963,-203.387,4.28673,-219.69656999999998,Terminal Fold2,668631-terminal_fold2
565,complex_152w.pdb,-28.1063,-17.4796,-88.0399,4.90667,-100.61283,Terminal Fold2,668631-terminal_fold2
566,complex_58w.pdb,-42.7083,-15.5459,-255.352,4.56544,-266.33245999999997,Terminal Fold2,668631-terminal_fold2
567,complex_132w.pdb,-45.4993,-17.5627,-299.1,3.01323,-313.64947,Terminal Fold2,668631-terminal_fold2
568,complex_85w.pdb,-44.922,-10.7937,-35.9372,3.56812,-43.16278,Terminal Fold2,668631-terminal_fold2
569,complex_188w.pdb,-31.9195,-11.3967,-249.35,3.88083,-256.86587,Terminal Fold2,668631-terminal_fold2
570,complex_191w.pdb,-54.8061,-20.5059,-320.344,4.00927,-336.84063,Terminal Fold2,668631-terminal_fold2
571,complex_134w.pdb,-33.4574,-8.94375,-123.125,1.93927,-130.12948,Terminal Fold2,668631-terminal_fold2
572,complex_182w.pdb,-31.107,-23.1296,-130.865,3.47304,-150.52156000000002,Terminal Fold2,668631-terminal_fold2
573,complex_142w.pdb,-33.6609,-6.02773,-406.562,3.67362,-408.91611,Terminal Fold2,668631-terminal_fold2
574,complex_165w.pdb,-57.69,4.40572,-345.115,4.37915,-336.33013000000005,Terminal Fold2,668631-terminal_fold2
575,complex_95w.pdb,-38.1113,-22.034,-170.672,4.57418,-188.13181999999998,Terminal Fold2,668631-terminal_fold2
576,complex_168w.pdb,-47.1535,-13.8053,-484.171,3.26792,-494.70838,Terminal Fold2,668631-terminal_fold2
577,complex_144w.pdb,-50.093,-19.615,-343.217,3.96146,-358.87054,Terminal Fold2,668631-terminal_fold2
578,complex_115w.pdb,-45.1984,-16.9212,-155.75,2.47432,-170.19688,Terminal Fold2,668631-terminal_fold2
579,complex_66w.pdb,-48.63,-9.11789,-338.391,5.2105,-342.29839,Terminal Fold2,668631-terminal_fold2
580,complex_184w.pdb,-32.1645,-14.8419,-132.04,4.16691,-142.71499,Terminal Fold2,668631-terminal_fold2
581,complex_106w.pdb,-47.7789,-13.2973,-216.982,5.07166,-225.20764,Terminal Fold2,668631-terminal_fold2
582,complex_160w.pdb,-30.9815,-17.9504,-69.3547,4.14927,-83.15583,Terminal Fold2,668631-terminal_fold2
583,complex_173w.pdb,-37.1206,-11.7725,-223.642,4.45669,-230.95781,Terminal Fold2,668631-terminal_fold2
584,complex_141w.pdb,-32.9967,-7.42623,-164.391,3.83852,-167.97871,Terminal Fold2,668631-terminal_fold2
585,complex_110w.pdb,-31.6643,-3.90198,-416.009,4.13606,-415.77492,Terminal Fold2,668631-terminal_fold2
586,complex_194w.pdb,-29.0588,-12.0453,-248.576,4.54466,-256.07664,Terminal Fold2,668631-terminal_fold2
587,complex_80w.pdb,-41.4322,-15.3963,-145.119,3.88372,-156.63157999999999,Terminal Fold2,668631-terminal_fold2
